"round_id","condition","participant_id","selected_elements","trust_article","trust_image"
133,"c2pa",21,"Headline;Topic","3","3"
134,"c2pa",17,"Headline;Topic","4","4"
135,"c2pa",29,"Picture;Image label;Headline;Topic","5","6"
136,"c2pa",25,"Headline;Topic","6","5"
137,"nolabel",30,"Topic","3","5"
138,"c2pa",25,"Topic","6","6"
139,"nolabel",26,"Headline","6","4"
140,"c2pa",29,"Topic","5","4"
141,"nolabel",22,"Topic","2","2"
143,"c2pa",29,"Topic;Other: environment","3","3"
144,"c2pa",32,"Headline","5","6"
145,"color",31,"Headline;Topic","5","2"
146,"nolabel",26,"Picture;Headline;Topic","7","7"
147,"nolabel",30,"Topic","5","5"
148,"no_color",28,"Headline","4","4"
149,"nolabel",33,"Topic","4","5"
150,"nolabel",30,"Other: It was the least uninteresting","4","4"
151,"no_color",28,"Headline;Topic","5","4"
152,"c2pa",32,"Headline","7","7"
153,"color",31,"Headline;Topic","4","4"
154,"nolabel",33,"Topic","4","4"
155,"color",31,"Headline;Topic","3","3"
156,"c2pa",32,"Picture;Headline","6","6"
157,"color",34,"Topic","4","4"
158,"no_color",35,"Headline;Topic","5","5"
159,"nolabel",33,"Topic","4","4"
161,"no_color",38,"Picture","5","5"
162,"nolabel",40,"Topic","3","1"
163,"c2pa",39,"Headline","6","6"
164,"nolabel",37,"Headline;Topic","7","6"
165,"nolabel",40,"Headline","1","4"
166,"nolabel",40,"Picture;Headline","4","5"
167,"no_color",38,"Picture","4","4"
168,"c2pa",36,"Image label;Headline;Topic","6","7"
169,"color",34,"Headline","4","4"
170,"color",41,"Picture;Headline;Topic","6","6"
171,"no_color",38,"Headline","6","6"
172,"no_color",42,"Topic","6","7"
173,"no_color",35,"Picture;Headline;Topic","5","5"
174,"color",34,"Headline","4","4"
175,"c2pa",43,"Headline","4","4"
176,"no_color",35,"Headline;Topic","4","5"
177,"nolabel",37,"Headline;Topic","6","5"
178,"nolabel",44,"Topic","2","2"
179,"color",41,"Picture;Headline;Topic","5","5"
180,"color",41,"Headline;Topic","6","6"
181,"nolabel",37,"Headline;Topic","7","6"
182,"c2pa",43,"Topic","6","6"
183,"nolabel",44,"Topic","2","2"
184,"nolabel",44,"Headline","5","5"
185,"c2pa",43,"Headline","3","6"
186,"color",45,"Headline","4","5"
187,"c2pa",39,"Topic","6","6"
188,"no_color",42,"Topic","5","7"
189,"c2pa",47,"Headline;Topic","4","4"
190,"no_color",46,"Picture;Topic","5","6"
191,"c2pa",39,"Topic","5","6"
192,"no_color",42,"Topic","3","7"
193,"no_color",46,"Image label;Headline;Topic","3","5"
194,"nolabel",48,"Topic","7","7"
195,"no_color",46,"Headline;Topic","3","5"
196,"color",45,"Don't know/None of these","4","3"
197,"no_color",50,"Topic","5","4"
198,"color",49,"Headline;Topic","5","6"
199,"no_color",50,"Image label","4","4"
200,"no_color",50,"Headline","4","4"
201,"color",45,"Don't know/None of these","3","3"
202,"color",49,"Topic","6","7"
203,"c2pa",51,"Topic","4","6"
204,"color",49,"Headline","6","7"
205,"nolabel",52,"Other: I wasn't interested in any of them.","1","4"
206,"c2pa",47,"Headline;Topic","4","4"
207,"nolabel",48,"Topic","7","7"
208,"color",53,"Headline","5","5"
209,"c2pa",36,"Headline;Topic","6","5"
210,"c2pa",47,"Headline;Topic","4","4"
211,"nolabel",52,"Topic","1","2"
212,"color",53,"Headline","5","5"
213,"color",53,"Headline","5","5"
214,"nolabel",52,"Headline;Topic","5","5"
215,"no_color",54,"Headline;Topic","3","7"
216,"c2pa",55,"Headline;Topic","4","4"
217,"c2pa",51,"Topic","4","6"
218,"nolabel",48,"Topic","7","7"
219,"nolabel",56,"Headline","6","5"
220,"color",57,"Headline;Topic","3","4"
221,"c2pa",55,"Headline;Topic","4","4"
222,"c2pa",55,"Other: less interested in the other topics","3","3"
223,"no_color",54,"Headline;Topic","2","4"
224,"no_color",58,"Image label;Headline;Topic","4","7"
225,"c2pa",51,"Topic","4","6"
226,"c2pa",59,"Headline;Topic","2","4"
227,"color",61,"Picture;Topic","7","7"
228,"no_color",54,"Headline","2","4"
229,"nolabel",56,"Headline","6","6"
230,"nolabel",60,"Headline","5","5"
231,"c2pa",59,"Headline","1","2"
232,"c2pa",59,"Headline;Topic","2","3"
233,"nolabel",56,"Headline","6","5"
234,"no_color",62,"Topic","1","1"
235,"color",61,"Picture;Headline;Topic","6","6"
236,"color",57,"Headline;Topic","5","5"
237,"no_color",62,"Topic","1","1"
238,"c2pa",63,"Headline;Topic","5","7"
239,"color",57,"Topic","6","6"
240,"no_color",62,"Picture;Topic","1","1"
241,"nolabel",60,"Headline;Topic","2","2"
242,"color",61,"Picture;Headline;Topic","6","6"
243,"color",65,"Headline;Topic","4","4"
244,"nolabel",60,"Topic","3","3"
245,"nolabel",64,"Picture;Headline;Topic","3","5"
246,"c2pa",63,"Topic","5","5"
247,"no_color",66,"Headline","7","6"
248,"color",65,"Headline","4","4"
249,"color",65,"Headline;Topic","4","4"
250,"no_color",58,"Headline;Topic","7","4"
251,"c2pa",63,"Image label;Topic","5","6"
252,"nolabel",68,"Headline","4","5"
253,"c2pa",67,"Headline","4","4"
254,"no_color",58,"Headline;Topic","5","7"
255,"c2pa",67,"Headline","4","4"
256,"nolabel",68,"Headline","3","3"
257,"nolabel",68,"Don't know/None of these","2","2"
258,"color",69,"Picture;Headline","5","7"
259,"no_color",70,"Headline","7","7"
260,"c2pa",67,"Picture","4","4"
261,"color",69,"Picture;Headline","5","7"
262,"color",69,"Picture;Image label","5","6"
263,"c2pa",71,"Picture;Topic","4","5"
264,"nolabel",64,"Picture;Headline","5","5"
265,"no_color",70,"Headline","6","6"
266,"nolabel",72,"Headline","6","4"
267,"no_color",70,"Headline;Topic","6","5"
268,"nolabel",64,"Don't know/None of these","4","6"
